"lat","long","elev","name","Year","Temp"
-37.83,144.98,7.5,"MELBOURNE(OLYMPICPARK)",1980,20.06311
-37.86,144.76,20.1,"LAVERTON",1980,20.36503
-38.86,143.51,82,"CAPE OTWAY LIGHTHOUSE",1980,17.42767
-41.05,146.79,3,"LOWHEAD",1980,16.18192
-41.55,147.22,166.9,"LAUNCESTONAIRPORT",1980,17.98743
-40.99,148.35,19.7,"LARAPUNA(EDDYSTONEPOINT)",1980,17.9337
-43.49,147.15,55,"CAPEBRUNY LIGHTHOUSE",1980,15.23552
-42.89,147.33,50.5,"HOBART(ELLERSLIEROAD)",1980,17.75956
-42.99,147.07,65,"GROVE(RESEARCHSTATION)",1980,17.86354
-42.28,146.28,667,"BUTLERS GORGE",1980,13.24789
